Agent 0,Agent 1,min,max,avg,steps,trend
42.8,12.0,4.5,50.3,27.4,379,27.473953436524308
34.7,17.1,6.3,45.5,25.9,380,27.461864073644463
31.0,23.3,5.0,49.3,27.15,381,27.449961705266123
40.2,9.0,5.2,44.0,24.6,382,27.43825443586843
41.4,12.0,5.2,48.2,26.700000000000003,383,27.426750426350793
43.2,21.1,6.9,57.4,32.15,384,27.41545789403288
43.7,9.4,2.8,50.3,26.549999999999997,385,27.404385112654612
41.8,18.9,9.9,50.8,30.349999999999998,386,27.393540412376183
43.6,10.8,4.6,49.8,27.2,387,27.382932179778027
40.5,17.7,4.1,54.1,29.1,388,27.372568857860855
50.0,14.1,7.6,56.5,32.05,389,27.362458946045628
43.3,16.0,8.1,51.2,29.650000000000002,390,27.35261100017357
43.7,10.9,3.9,50.7,27.3,391,27.34303363250616
41.9,9.9,3.6,48.2,25.900000000000002,392,27.333735511725145
44.9,12.3,5.6,51.6,28.6,393,27.32472536293252
51.6,13.0,6.9,57.7,32.300000000000004,394,27.316011967650542
45.0,17.2,4.5,57.7,31.1,395,27.30760416382174
45.5,5.2,1.9,48.8,25.349999999999998,396,27.299510845808886
47.6,7.8,2.1,53.3,27.7,397,27.29174096439502
55.3,15.1,6.8,63.6,35.2,398,27.28430352678344
44.4,6.6,4.2,46.8,25.5,399,27.2772075965977
43.3,12.3,4.0,51.6,27.8,400,27.27046229388162
44.6,15.3,7.2,52.7,29.950000000000003,401,27.264076795099275
34.3,6.7,3.7,37.3,20.5,402,27.258060333134996
42.2,11.3,5.2,48.3,26.75,403,27.25242219729338
50.0,15.1,5.7,59.4,32.55,404,27.24717173329928
43.5,14.4,6.1,51.8,28.95,405,27.242318343297807
43.0,9.6,5.4,47.2,26.3,406,27.237871485854335
43.0,10.5,4.0,49.5,26.75,407,27.233840675954493
44.3,13.1,5.3,52.1,28.7,408,27.230235485004176
45.0,2.9,2.6,45.3,23.95,409,27.227065540829532
35.0,4.6,3.8,35.8,19.799999999999997,410,27.224340527676972
34.4,8.3,3.7,39.0,21.35,411,27.222070186213163
35.3,8.5,5.4,38.4,21.9,412,27.220264313525036
33.7,9.8,3.9,39.6,21.75,413,27.21893276311977
36.6,15.3,6.6,45.3,25.95,414,27.218085444924824
35.0,12.5,4.2,43.3,23.75,415,27.217732325287898
34.8,3.9,2.2,36.5,19.35,416,27.217883426976957
34.0,3.4,3.4,34.0,18.7,417,27.218548829180225
33.0,5.8,5.3,33.5,19.4,418,27.219738667506192
34.2,24.5,7.3,51.4,29.349999999999998,419,27.221463133983598
32.3,17.3,7.0,42.6,24.8,420,27.223732477061446
33.1,19.1,6.7,45.5,26.1,421,27.226557001609
36.4,7.7,3.7,40.4,22.05,422,27.229947068915777
30.3,10.3,4.6,36.0,20.3,423,27.233913096691563
43.5,3.5,2.8,44.2,23.5,424,27.238465559066398
42.6,15.1,5.1,52.6,28.85,425,27.24361498659058
33.8,6.5,3.5,36.8,20.15,426,27.249371966234666
34.2,16.6,7.3,43.5,25.4,427,27.25574714138948
40.8,7.3,2.7,45.4,24.05,428,27.262751211866096
33.7,20.8,8.8,45.7,27.25,429,27.270394933895854
35.2,11.9,5.6,41.5,23.55,430,27.278689120130345
35.0,11.9,5.6,41.3,23.45,431,27.28764463964143
43.9,2.0,2.0,43.9,22.95,432,27.297272417921224
32.1,10.0,4.6,37.5,21.05,433,27.3075834368821
34.7,2.4,2.1,35.0,18.55,434,27.318588734856693
31.0,19.1,5.7,44.4,25.05,435,27.330299406597895
34.3,5.8,3.4,36.7,20.05,436,27.342726603278855
35.0,15.3,3.3,47.0,25.15,437,27.35588153249299
35.5,30.0,7.9,57.6,32.75,438,27.369775458253972
38.1,18.2,5.9,50.4,28.15,439,27.38441970099573
33.0,30.5,9.5,54.0,31.75,440,27.39982563757245
38.8,2.7,0.3,41.2,20.75,441,27.41600470125859
29.7,4.6,1.9,32.4,17.15,442,27.43296838174885
34.2,31.8,9.5,56.5,33.0,443,27.450728225158205
30.8,25.2,5.4,50.6,28.0,444,27.469295834021874
30.8,30.9,5.4,56.3,30.849999999999998,445,27.488682867295353
31.8,28.8,6.9,53.7,30.3,446,27.50890104035438
31.2,44.6,8.9,66.9,37.900000000000006,447,27.52996212499497
30.5,33.8,7.6,56.7,32.15,448,27.551877949433376
29.8,37.4,6.0,61.2,33.6,449,27.574660398306133
30.6,34.0,4.2,60.4,32.3,450,27.598321412670014
